z_threshold,away_ratio_threshold,min_txns,precision,recall,f1
3.2,0.4,5,0.8288288288288288,0.38493723849372385,0.5257142857142857
3.2,0.5,5,0.8288288288288288,0.38493723849372385,0.5257142857142857
3.2,0.6,5,0.8272727272727273,0.3807531380753138,0.5214899713467048
4.0,0.7,3,0.9659090909090909,0.35564853556485354,0.5198776758409785
3.0,0.5,5,0.7560975609756098,0.3891213389121339,0.5138121546961326
3.0,0.4,5,0.7560975609756098,0.3891213389121339,0.5138121546961326
3.2,0.7,5,0.8240740740740741,0.3723849372384937,0.5129682997118156
3.5,0.7,3,0.7058823529411765,0.401673640167364,0.512
3.0,0.6,5,0.7540983606557377,0.38493723849372385,0.5096952908587258
3.5,0.4,5,0.9032258064516129,0.3514644351464435,0.5060240963855421
3.5,0.5,5,0.9032258064516129,0.3514644351464435,0.5060240963855421
3.5,0.6,5,0.9120879120879121,0.3472803347280335,0.503030303030303
2.5,0.4,5,0.6196319018404908,0.4225941422594142,0.5024875621890548
2.5,0.5,5,0.6196319018404908,0.4225941422594142,0.5024875621890548
3.0,0.7,5,0.75,0.37656903765690375,0.5013927576601671
2.5,0.6,5,0.6172839506172839,0.41841004184100417,0.49875311720698257
4.0,0.5,3,0.7377049180327869,0.37656903765690375,0.4986149584487535
4.0,0.6,3,0.7416666666666667,0.3723849372384937,0.4958217270194986
3.5,0.7,5,0.9101123595505618,0.3389121338912134,0.49390243902439024
3.5,0.5,3,0.5941176470588235,0.4225941422594142,0.4938875305623472
3.5,0.6,3,0.5952380952380952,0.41841004184100417,0.4914004914004914
2.5,0.7,5,0.6125,0.4100418410041841,0.49122807017543857
4.0,0.4,3,0.6976744186046512,0.37656903765690375,0.4891304347826087
3.5,0.4,3,0.5706214689265536,0.4225941422594142,0.4855769230769231
4.0,0.4,5,0.9868421052631579,0.3138075313807531,0.47619047619047616
4.0,0.5,5,0.9868421052631579,0.3138075313807531,0.47619047619047616
4.0,0.6,5,1.0,0.30962343096234307,0.4728434504792332
3.2,0.7,3,0.4798206278026906,0.4476987447698745,0.46320346320346323
4.0,0.7,5,1.0,0.301255230125523,0.4630225080385852
3.2,0.5,3,0.4392156862745098,0.4686192468619247,0.4534412955465587
3.2,0.6,3,0.43700787401574803,0.46443514644351463,0.45030425963488846
3.2,0.4,3,0.42911877394636017,0.4686192468619247,0.448
2.5,0.7,8,1.0,0.2719665271966527,0.4276315789473684
2.5,0.6,8,1.0,0.2719665271966527,0.4276315789473684
2.5,0.4,8,1.0,0.2719665271966527,0.4276315789473684
2.5,0.5,8,1.0,0.2719665271966527,0.4276315789473684
3.0,0.7,3,0.3654485049833887,0.4602510460251046,0.4074074074074074
3.0,0.5,3,0.3463855421686747,0.4811715481171548,0.4028021015761821
3.0,0.6,3,0.34441087613293053,0.4769874476987448,0.4
3.0,0.4,3,0.34023668639053256,0.4811715481171548,0.3986135181975737
3.0,0.4,8,1.0,0.24686192468619247,0.3959731543624161
3.0,0.7,8,1.0,0.24686192468619247,0.3959731543624161
3.0,0.6,8,1.0,0.24686192468619247,0.3959731543624161
3.0,0.5,8,1.0,0.24686192468619247,0.3959731543624161
3.2,0.4,8,1.0,0.24686192468619247,0.3959731543624161
3.2,0.5,8,1.0,0.24686192468619247,0.3959731543624161
3.2,0.6,8,1.0,0.24686192468619247,0.3959731543624161
3.2,0.7,8,1.0,0.24686192468619247,0.3959731543624161
3.5,0.5,8,1.0,0.2301255230125523,0.3741496598639456
3.5,0.4,8,1.0,0.2301255230125523,0.3741496598639456
3.5,0.6,8,1.0,0.2301255230125523,0.3741496598639456
3.5,0.7,8,1.0,0.2301255230125523,0.3741496598639456
4.0,0.4,8,1.0,0.200836820083682,0.3344947735191638
4.0,0.5,8,1.0,0.200836820083682,0.3344947735191638
4.0,0.6,8,1.0,0.200836820083682,0.3344947735191638
4.0,0.7,8,1.0,0.200836820083682,0.3344947735191638
2.5,0.5,3,0.18641618497109827,0.5397489539748954,0.2771213748657358
2.5,0.4,3,0.18587896253602307,0.5397489539748954,0.2765273311897106
2.5,0.6,3,0.18523878437047755,0.5355648535564853,0.2752688172043011
2.5,0.7,3,0.18618618618618618,0.5188284518828452,0.2740331491712707
